file,page_num,line_num,text,split_ws,split_we,lang,lang_score,perplex,word_count,char_count,garbage_density,symbol,upper,repeated,ldl_fuses,fused_words,gibberish,word_weird,vowel_ratio,rot_ratio,quality_score,categ,caps_header
CTX197901442,1,1,OBEC,,,ces,0.9997,850.0,1,4,0.0,0,0,0,0,0,0,0.0,0.5,0.75,0.8245,Clear,True
CTX197901442,1,2,OKRES,,,ces,0.75,850.0,1,5,0.0,0,0,0,0,0,0,0.0,0.4,0.6,0.805,Clear,True
CTX197901442,1,3,‘ *4242& -,,,,0.0,0.0,0,10,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,Non-text,False
CTX197901442,1,4,Vysoký jez .,,,ces,0.9993,1711.89,3,12,0.0,0,0,0,0,0,0,0.0,0.4444,0.6667,0.7118,Clear,False
CTX197901442,1,5,Mad DrAMou,,,ces,0.75,850.0,2,10,0.0,0,1,0,0,0,0,0.05,0.4444,0.6667,0.796,Clear,False
CTX197901442,1,6,ČÍSLO PARCELY,,,ces,0.8507,850.0,2,13,0.0,0,0,0,0,0,0,0.0,0.4167,0.4167,0.8215,Clear,True
CTX197901442,1,7,,,,,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,Empty,False
CTX197901442,1,8,Rychnov n.Kn.,,,ces,0.894,850.0,2,13,0.0,0,0,0,0,0,1,0.05,0.2,0.6,0.7772,Clear,False
CTX197901442,1,9,Přílohy,,,ces,1.0,327.77,1,7,0.0,0,0,0,0,0,0,0.0,0.4286,0.4286,0.9043,Clear,False
CTX197901442,1,10,NÁZEV TRATI,,,ces,1.0,423.98,2,11,0.0,0,0,0,0,0,0,0.0,0.4,0.4,0.8919,Clear,True
CTX197901442,1,11,Homole - kopec SZ od Vysokí-,,,ces,0.75,2351.8,6,28,0.0,0,0,0,0,0,0,0.0,0.4286,0.7143,0.6588,Noisy,False
CTX197901442,1,12,Újezda pokryt lesem.,,,ces,0.7876,1065.82,3,20,0.0,0,0,0,0,0,0,0.0,0.4118,0.5882,0.7929,Clear,False
CTX197901442,1,13,,,,,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,Empty,False
CTX197901442,1,14,ho,,,,0.0,0.0,0,2,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,Non-text,False
CTX197901442,1,15,Kultura Z.,,,ces,0.7928,573.15,2,10,0.0,0,0,0,0,0,0,0.0,0.375,0.375,0.7207,Clear,False
CTX197901442,1,16,ČÍSLO MAPY,,,ces,0.75,850.0,2,10,0.0,0,0,0,0,0,0,0.0,0.4444,0.5556,0.8084,Clear,True
CTX197901442,1,17,Druh nálezu,,,ces,0.75,850.0,2,11,0.0,0,0,0,0,0,0,0.0,0.4,0.6,0.812,Clear,False
CTX197901442,1,18,keramcké střepy,,,ces,1.0,850.0,2,15,0.0,0,0,0,0,0,0,0.0,0.3571,0.4286,0.83,Clear,False
CTX197901442,1,19,LITERATURA,,,,0.0,0.0,0,10,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,Non-text,False
CTX197901442,1,20,Uložení,,,ces,0.9716,376.66,1,7,0.0,0,0,0,0,0,0,0.0,0.5714,0.5714,0.8956,Clear,False
CTX197901442,1,21,"Rukopisné poznámky str. 56 , autora .",,,ces,0.8578,1163.34,7,37,0.0,0,0,0,0,0,0,0.0,0.4231,0.5385,0.6937,Noisy,False
CTX197901442,1,22,Čis. inv.,,,ces,0.9216,850.0,2,9,0.0,0,0,0,0,0,0,0.0,0.3333,0.5,0.7942,Clear,False
CTX197901442,1,23,", ■",,,,0.0,0.0,0,3,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,Non-text,False
CTX197901442,1,24,,,,,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,Empty,False
CTX197901442,1,25,Ľne 22. 11.1974 . 7,,,ces,0.75,1279.45,5,19,0.0,0,0,1,0,0,0,0.12,0.3333,0.6667,0.5513,Noisy,False
CTX197901442,1,26,"P.Jirušek starousedlíkvobci Vysoký Újezd podal informaci , že před",,,ces,1.0,638.14,9,66,0.0,0,0,0,0,1,0,0.0,0.4107,0.5179,0.8244,Clear,False
CTX197901442,1,27,mnoha lety si rolnícivmístě Homole kopali krechty na uskladnení,,,ces,0.9975,983.61,9,63,0.0,0,0,0,0,0,0,0.0,0.4182,0.4727,0.7783,Clear,False
CTX197901442,1,28,"bramborařepy . Při kopání, nalezeno mnoho různých keramických střepu .",,,ces,1.0,232.59,10,70,0.0,0,0,0,0,0,0,0.0,0.3966,0.5,0.8945,Clear,False
CTX197901442,1,29,Keramický materiál nebyl zachován .,,,ces,1.0,1105.25,5,35,0.0,0,0,0,0,0,0,0.0,0.4333,0.4,0.7638,Clear,False
CTX197901442,1,30,,,,,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,Empty,False
CTX197901442,1,31,Nčv* rodte map) 4:2Fee,,,ces,0.75,3999.29,4,22,0.0909,1,0,0,0,0,1,0.1,0.3571,0.6429,0.5855,Noisy,False
CTX197901442,1,32,<• 55 1501 M,,,ces,0.75,4288.81,4,12,0.1667,1,0,0,0,0,0,0.1,0.0,1.0,0.3767,Trash,True
