file,page_num,line_num,text,split_ws,split_we,lang,lang_score,perplex,word_count,char_count,garbage_density,symbol,upper,repeated,ldl_fuses,fused_words,gibberish,word_weird,vowel_ratio,rot_ratio,quality_score,categ,caps_header
CTX198603218,1,1,"479. TUROVEC, o. Nová Ves u Chýnova, okr. Tábor",,,ces,0.75,702.52,9,47,0.0,0,0,0,0,0,0,0.0,0.4516,0.5806,0.7789,Clear,False
CTX198603218,1,2,"1980-81 - KULT: Středověk. LOK: ZSV Kravín, ca 6,5km JV od Tábora; Ikm sev. od silnice",,,ces,0.9978,446.28,16,86,0.0349,0,0,0,0,0,0,0.0,0.3333,0.5,0.8041,Clear,False
CTX198603218,1,3,"Planá n.Luž. - Turovec-Chýnov; v lesespomístním názvem ""Stará ves"" /""Pustá ves""/. ZM 23-133 Tábor,",Tá,,ces,0.9855,423.48,14,98,0.051,0,0,1,0,0,0,0.0393,0.3485,0.6212,0.6999,Noisy,False
CTX198603218,1,4,217 od Z a 65 mm od J s.č. OKOL: Systematický výzkum zaniklé středověké vesnice Kravín. NÁLEZ:,,"bor,",ces,0.9999,430.36,17,94,0.0213,0,0,0,0,0,0,0.0,0.3824,0.5294,0.7958,Clear,False
CTX198603218,1,5,"Po předchozích výzkumechvletech 1965-1967 a 1973-1974 odkryt jedenzdalších objektů ZSV, tentokrát",,,ces,0.9999,355.13,11,97,0.0,0,0,0,0,1,0,0.0,0.3235,0.4853,0.6999,Noisy,False
CTX198603218,1,6,"jako součást ""Experimentu na středověkém objektu"", prováděném ve spolupráci AÚ ČSAV Praha a MHRH",,,ces,1.0,353.76,14,96,0.0208,0,0,0,0,0,1,0.0,0.4125,0.5125,0.8805,Clear,False
CTX198603218,1,7,Tábor. Výzkumem měla být ověřena vypovídací schopnost geodeticko-topografického průzkumuvdetailní,,,ces,1.0,241.44,9,97,0.0,0,0,0,0,2,0,0.0,0.4253,0.5057,0.6999,Noisy,False
CTX198603218,1,8,situaci jednohozobjektů. Archeologický výzkum byl zařazen do výzkumného úkolu systematického zkoumání,,,ces,1.0,245.06,11,101,0.0,0,0,0,0,1,0,0.0,0.4444,0.5,0.6999,Noisy,False
CTX198603218,1,9,ZSV tzv. husitského období na Táborskú. Výzkumem byl zjištěn jednoprostorový obytný objekt zemnicové-,,,ces,0.9982,242.11,13,101,0.0,0,0,0,0,1,0,0.0,0.3721,0.593,0.6999,Noisy,False
CTX198603218,1,10,"ho typusprostým otevřeným ohništěm, zásobní jámou, svahovitou vstupní šíjíakamennou plentou podél",,,ces,0.9996,282.85,11,97,0.0,0,0,0,0,0,0,0.0,0.4353,0.6,0.9467,Clear,False
CTX198603218,1,11,podpovrchových částí stěn. Objekt dosahoval rozměrů 500-540 x 220-270 cm s delší osou V - Z. Jihovýchodně,Jihovýchod,,ces,1.0,239.04,17,105,0.0,0,0,2,0,0,0,0.0912,0.3611,0.5278,0.6999,Noisy,False
CTX198603218,1,12,"od tohoto objektu, 350 cm od stěn a 250 cm od počátku vchodu do něj, byly odkryty zbytky povrchové stavby.",stav,ně,ces,1.0,353.89,20,106,0.0,0,0,0,0,0,0,0.0,0.3846,0.6026,0.8357,Clear,False
CTX198603218,1,13,Rozkládala se na ploše cca 500 x 500 cm a její stěny byly shodně orientoványsobytným objektem. Získaný,Zís,by.,ces,1.0,383.16,17,102,0.0,0,0,0,0,1,0,0.05,0.4177,0.5443,0.6999,Noisy,False
CTX198603218,1,14,materiál této sídelní jednotky /dům + oddělená hospodářská stavba/ je datován do první poloviny 15.,,kaný,ces,1.0,592.26,15,99,0.0101,0,0,0,0,0,0,0.0,0.4177,0.557,0.8714,Clear,False
CTX198603218,1,15,"století. Mezi objekty č. 1 /dům/ a č. 3 /povrchová stavba/byla odkryta oválná studna, prostě vyhloubená",,,ces,1.0,371.16,16,103,0.0,0,0,0,0,0,0,0.0312,0.4103,0.5385,0.8597,Clear,False
CTX198603218,1,16,"do podloží, dosahující průměru 140-175cm a hloubky 410 cm. Ve středu dna bylo zjištěno pravidelné kruhovité",kru,,ces,1.0,580.28,16,107,0.0,0,0,0,0,0,0,0.0,0.4125,0.5125,0.8432,Clear,False
CTX198603218,1,17,"zahloubeníoprůměru 60cm a hloubce 20 cm, sloužící jako odkalovač. Objekt je datován do konce 13.,",,hovité,ces,1.0,631.56,15,97,0.0,0,0,0,0,1,1,0.0,0.4384,0.5068,0.6999,Noisy,False
CTX198603218,1,18,či na přelom 13.-14. stol. V roce 1981 byla dále provedena preparace částí objektůzlet 1973-1974a u jednoho,jed,,ces,1.0,686.64,17,107,0.0,0,0,0,0,0,0,0.0,0.4286,0.5286,0.8213,Clear,False
CTX198603218,1,19,"z nich byla odkryta 810 cm hluboká studna, roubená na sucho loženým kamením, dosahující vnitřního",,noho,ces,1.0,494.15,15,97,0.0,0,0,0,0,0,0,0.0,0.4103,0.5128,0.8799,Clear,False
CTX198603218,1,20,průměru 80-90cm. Materiál datuje objekt do první poloviny 15. stol. ULOŽ: MHRH Tábor. LIT: Shrnuta,,,ces,0.9989,449.76,15,98,0.0204,0,0,0,0,0,1,0.0,0.3662,0.4648,0.8937,Clear,False
CTX198603218,1,21,"in: Krajíc R. , Přehled archeologických výzkumů středověku na Táborskú/se zaměřením na ZSO/, Archeologické",Arche,,ces,1.0,208.01,14,106,0.0094,0,0,0,0,1,0,0.0,0.4023,0.4138,0.6999,Noisy,False
CTX198603218,1,22,"výzkumyvjižních Čechách 1, 1983, 101-105.",,ologické,ces,0.9997,123.59,5,41,0.0,0,0,1,0,1,0,0.12,0.3182,0.3636,0.6999,Noisy,False
CTX198603218,1,23,R. Krajíc,,,ces,0.9999,654.55,2,9,0.0,0,0,0,0,0,0,0.0,0.2857,0.0,0.6931,Noisy,False
CTX198603218,1,24,,,,,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,Empty,False
CTX198603218,1,25,BZU 1982-1983 4,,,,0.0,0.0,0,15,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,Non-text,False
